layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Softmax,50,0.001,16,0.1805
1,4,Softmax,50,0.001,32,0.883
1,4,Softmax,50,0.001,64,0.0335
1,4,Softmax,50,0.001,128,0.945
1,4,Softmax,50,0.001,256,0.896
1,4,Softmax,50,0.001,512,0.982
1,4,Softmax,50,0.0001,16,0.956
1,4,Softmax,50,0.0001,32,0.4705
1,4,Softmax,50,0.0001,64,0.2375
1,4,Softmax,50,0.0001,128,0.299
1,4,Softmax,50,0.0001,256,0.9665
1,4,Softmax,50,0.0001,512,0.7675
1,4,Softmax,100,10.0,16,0.999
1,4,Softmax,100,10.0,32,0.999
1,4,Softmax,100,10.0,64,0.999
1,4,Softmax,100,10.0,128,0.995
1,4,Softmax,100,10.0,256,0.9985
1,4,Softmax,100,10.0,512,0.999
1,4,Softmax,100,1.0,16,0.9875
1,4,Softmax,100,1.0,32,0.999
1,4,Softmax,100,1.0,64,0.999
1,4,Softmax,100,1.0,128,0.9985
1,4,Softmax,100,1.0,256,0.999
1,4,Softmax,100,1.0,512,0.999
1,4,Softmax,100,0.1,16,0.999
1,4,Softmax,100,0.1,32,0.999
1,4,Softmax,100,0.1,64,0.999
1,4,Softmax,100,0.1,128,0.999
1,4,Softmax,100,0.1,256,0.999
1,4,Softmax,100,0.1,512,0.999
1,4,Softmax,100,0.01,16,0.999
1,4,Softmax,100,0.01,32,0.999
1,4,Softmax,100,0.01,64,0.999
1,4,Softmax,100,0.01,128,0.999
1,4,Softmax,100,0.01,256,0.999
1,4,Softmax,100,0.01,512,0.999
1,4,Softmax,100,0.001,16,0.992
1,4,Softmax,100,0.001,32,0.7055
1,4,Softmax,100,0.001,64,0.9915
1,4,Softmax,100,0.001,128,0.999
1,4,Softmax,100,0.001,256,0.976
1,4,Softmax,100,0.001,512,0.1785
1,4,Softmax,100,0.0001,16,0.9775
1,4,Softmax,100,0.0001,32,0.9695
1,4,Softmax,100,0.0001,64,0.669
1,4,Softmax,100,0.0001,128,0.961
1,4,Softmax,100,0.0001,256,0.846
1,4,Softmax,100,0.0001,512,0.946
1,4,Softmax,250,10.0,16,0.999
1,4,Softmax,250,10.0,32,0.9985
1,4,Softmax,250,10.0,64,0.9745
1,4,Softmax,250,10.0,128,0.999
1,4,Softmax,250,10.0,256,0.999
1,4,Softmax,250,10.0,512,0.999
1,4,Softmax,250,1.0,16,0.999
1,4,Softmax,250,1.0,32,0.999
1,4,Softmax,250,1.0,64,0.999
1,4,Softmax,250,1.0,128,0.9875
1,4,Softmax,250,1.0,256,0.999
1,4,Softmax,250,1.0,512,0.999
1,4,Softmax,250,0.1,16,0.999
1,4,Softmax,250,0.1,32,0.999
1,4,Softmax,250,0.1,64,0.999
1,4,Softmax,250,0.1,128,0.999
1,4,Softmax,250,0.1,256,0.999
1,4,Softmax,250,0.1,512,0.999
1,4,Softmax,250,0.01,16,0.999
1,4,Softmax,250,0.01,32,0.999
1,4,Softmax,250,0.01,64,0.999
1,4,Softmax,250,0.01,128,0.999
1,4,Softmax,250,0.01,256,0.999
1,4,Softmax,250,0.01,512,0.999
1,4,Softmax,250,0.001,16,0.999
1,4,Softmax,250,0.001,32,0.9985
1,4,Softmax,250,0.001,64,0.999
1,4,Softmax,250,0.001,128,0.999
1,4,Softmax,250,0.001,256,0.999
1,4,Softmax,250,0.001,512,0.999
1,4,Softmax,250,0.0001,16,0.714
